Time   | Frame  | Pose? | PValid | Hand? | Raw Handedness   | P_NZ  | LH_NZ | RH_NZ | Hist  | Top-1 Prediction       | Top-2 Prediction      
 6.63s |    246 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    30 | what (99.1%)           | good (0.7%)           
 6.71s |    249 | False | False  | True  | Right:0.98       |     0 |     0 |    63 |    30 | what (99.5%)           | good (0.4%)           
 6.79s |    252 | True  | True   | True  | Right:0.98       |    99 |     0 |    63 |    30 | what (99.5%)           | good (0.4%)           
 6.87s |    255 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (99.5%)           | good (0.4%)           
 6.95s |    258 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (99.5%)           | good (0.4%)           
 7.03s |    261 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (99.5%)           | good (0.4%)           
 7.11s |    264 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (99.5%)           | good (0.4%)           
 7.20s |    267 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (99.5%)           | good (0.4%)           
 7.28s |    270 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (99.5%)           | good (0.4%)           
 7.36s |    273 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (99.5%)           | good (0.4%)           
 7.44s |    276 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (99.5%)           | good (0.4%)           
 7.52s |    279 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (99.5%)           | good (0.4%)           
 7.60s |    282 | True  | True   | True  | Right:0.83       |    99 |     0 |    63 |    30 | what (99.8%)           | good (0.2%)           
 7.68s |    285 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (99.8%)           | good (0.2%)           
 7.76s |    288 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (99.8%)           | good (0.2%)           
 7.84s |    291 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (99.8%)           | good (0.2%)           
 7.92s |    294 | False | False  | True  | Right:1.00       |     0 |     0 |    63 |    30 | what (99.8%)           | good (0.1%)           
 8.00s |    297 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    30 | what (99.7%)           | good (0.2%)           
 8.09s |    300 | True  | True   | True  | Right:0.99       |    99 |     0 |    63 |    30 | what (99.8%)           | good (0.1%)           
 8.17s |    303 | False | False  | True  | Right:1.00       |     0 |     0 |    63 |    30 | what (99.5%)           | good (0.3%)           
 8.25s |    306 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    30 | what (99.6%)           | good (0.2%)           
 8.33s |    309 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    30 | what (99.3%)           | good (0.4%)           
 8.41s |    312 | False | False  | True  | Right:1.00       |     0 |     0 |    63 |    30 | what (99.3%)           | good (0.3%)           
 8.49s |    315 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (99.3%)           | good (0.3%)           
